request_key,cache_file_path,cache_status,cache_sha256,cache_bytes,cache_error,cache_attrs_json,product_status,units_basis,units_response_metadata_available
50.8_-0.0_2023-08-02,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-08-02.pkl,missing_file,,,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-08-03,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-08-03.pkl,readable,d032eb5e43fee614685ca8910cc2ff432ca18d7f9305af0dc5b1a62dec50fde2,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-08-24,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-08-24.pkl,readable,a2289f23e0ba09e94026300707b127bded4d8f7a1af69a55dda6dfb89edcc3b1,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-08-25,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-08-25.pkl,readable,fdadd630ca1b52ae4d260f95981177deac017b32e13273e450b1c94431e3f135,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-08-26,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-08-26.pkl,readable,8b83a08df12baad44f1efe976e7aeeff58a5b2ced3b2be60d8123ea2bd57ca3a,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-08-28,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-08-28.pkl,readable,538ca5300068a244278384ea3e23276433862b0ee0f1685dd4342a678709296d,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-08-29,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-08-29.pkl,readable,b68e33925311e02bdd202d6ecdc05269d6e7d74a48c184fb8f09427f6eaff508,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-09-04,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-09-04.pkl,readable,f6ad1fa6cce8dc02ac584071954a977cd6127cd341ba2a34eed5da9e7fe0abbb,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-09-05,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-09-05.pkl,readable,13b43a84d20adcb2c1974d3bd23ad08d6ac2f8d7c81dd257af6ba8fa7aaaf8c5,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-09-21,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-09-21.pkl,readable,59c6983c0944c47fcf3642abddaeb8157607ba1fb84b3e8efdbaf51dc7dd0bea,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-10-28,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-10-28.pkl,readable,4780cf00287bca4b5f37f5bb45ccda3ac2c288192b28fadf8f63b9de2837fb73,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-10-30,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-10-30.pkl,readable,6165f15d8b9ab62929b7c9a3efaf4eb4872f2aeee95f5688ca7d776bd2ebd786,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-11-02,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-11-02.pkl,readable,15f8cffe11cfa6255178848aa19ee08bcb1fdfe39e43096266aaafb498099307,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-11-07,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-11-07.pkl,readable,119e1c65b6cd298f6e7320ae262e7fbc3715e3ebc38b1274c309ba4bc35adfc3,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-11-15,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-11-15.pkl,readable,22f173a9388efeb4eebcc75bc60ba16abb700b6502373938a341fabb5c46eac2,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-12-05,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-12-05.pkl,readable,45147a1ca6b9d7778f3d7a2c0c8e3b090722c8ffd2edbe47ff84abff3afca77d,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-12-29,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-12-29.pkl,readable,25c5d4be231742b4065b4b692b25ed321126964811dafa71502d3df968e75482,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2024-01-15,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2024-01-15.pkl,readable,8b22c21e9e56f303b3d0e98d6c50582130cef84a394517f5062d647265ab0363,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2024-01-22,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2024-01-22.pkl,readable,1513830477cbac3289a4627e4037e90e5b7cd9b17f578cbaac041beff764ed0b,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2024-02-08,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2024-02-08.pkl,readable,192c1499de710e5b3ef98bdb4744c1b74d935c0e221668ee4a65cbc94cbfa599,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2024-02-11,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2024-02-11.pkl,readable,c5da5addfe057f16cb0a898c6acf2b662f5afbc7e1c54b25a2fdfe2eeb0f1e80,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2024-02-23,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2024-02-23.pkl,readable,60c058413f2e17407abd3b4379f4129a8263f33faa2e1d2f067a30622cb41284,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2024-03-01,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2024-03-01.pkl,readable,87146ffebcb30d702f95c771bf896b717706d489c67d18d5defa37bb211aabe5,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2024-03-04,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2024-03-04.pkl,missing_file,,,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
