LAD21CD,date,gust,precip,n_inc,maxc,wmaxc,log_population,urban_binary,income_deprivation_rate,year,month,any_gt0,wthr_gt0,any_gt5,wthr_gt5,any_gt100,wthr_gt100,any_gt1000,wthr_gt1000,hours,grid_lat,grid_lon,gust_proxy
E07000066,2021-04-02,12.1,0.0086973016636998,0,-1.0,-1.0,12.160656781999691,1.0,0.138,2021,4,0,0,0,0,0,0,0,0,24,51.5,0.5,10.062729657308804
E07000067,2021-04-02,12.3,0.0194080206772806,0,-1.0,-1.0,11.98601183767587,0.0,0.092,2021,4,0,0,0,0,0,0,0,0,24,52.0,0.5,9.958178376615448
E07000068,2021-04-02,12.1,0.006785458594323,1,5.0,-1.0,11.253001221229496,1.0,0.064,2021,4,1,0,0,0,0,0,0,0,24,51.75,0.25,10.065223482877895
E07000069,2021-04-02,12.1,0.0103274483108673,0,-1.0,-1.0,11.404359818363451,1.0,0.107,2021,4,0,0,0,0,0,0,0,0,24,51.5,0.5,10.075596259797262
E07000070,2021-04-02,12.0,0.0120589639882931,2,439.0,-1.0,12.110810964549762,1.0,0.077,2021,4,1,0,1,0,1,0,0,0,24,51.75,0.5,10.022713895165673
E07000071,2021-04-02,12.2,0.032499944390021,0,-1.0,-1.0,12.198529265645048,1.0,0.099,2021,4,0,0,0,0,0,0,0,0,24,52.0,0.75,9.911207669753557
E07000072,2021-04-02,12.1,0.0038093826923339,0,-1.0,-1.0,11.812592924855007,1.0,0.091,2021,4,0,0,0,0,0,0,0,0,24,51.75,0.25,10.09024573593827
E07000073,2021-04-02,12.2,0.004382051039147,0,-1.0,-1.0,11.47656226523392,1.0,0.134,2021,4,0,0,0,0,0,0,0,0,24,51.75,0.0,10.094080168575998
E07000074,2021-04-02,12.0,0.0200097943328547,0,-1.0,-1.0,11.13312810361064,0.0,0.086,2021,4,0,0,0,0,0,0,0,0,24,51.75,0.75,10.011247594460302
E07000075,2021-04-02,11.7,0.0132915363983963,1,1.0,-1.0,11.39143556738252,1.0,0.073,2021,4,1,0,0,0,0,0,0,0,24,51.5,0.75,10.060841299038676
E07000076,2021-04-02,12.4,0.0449129624511878,2,12.0,12.0,11.946790127600089,0.0,0.173,2021,4,1,1,1,1,0,0,0,0,24,51.75,1.0,9.97126845093919
E07000077,2021-04-02,12.1,0.0098853141318553,1,54.0,-1.0,11.4286847914887,0.0,0.054,2021,4,1,0,1,0,0,0,0,0,24,52.0,0.25,10.052095024013056
E07000095,2021-04-02,12.2,0.0029083401303592,0,-1.0,-1.0,11.504308444863112,1.0,0.108,2021,4,0,0,0,0,0,0,0,0,24,51.75,0.0,10.108223106268914
