LAD21CD,date,gust_grid,hours,grid_lat,grid_lon
E09000014,2021-06-20,10.3,24,51.5,0.0
E09000014,2021-06-21,13.5,24,51.5,0.0
E09000014,2021-06-22,13.5,24,51.5,0.0
E09000014,2021-06-23,7.6,24,51.5,0.0
E09000014,2021-06-24,7.4,24,51.5,0.0
E09000014,2021-06-25,8.8,24,51.5,0.0
E09000014,2021-06-26,8.0,24,51.5,0.0
E09000014,2021-06-27,13.2,24,51.5,0.0
E09000014,2021-06-28,7.5,24,51.5,0.0
E09000014,2021-06-29,8.4,24,51.5,0.0
E09000014,2021-06-30,8.7,24,51.5,0.0
E09000014,2021-07-01,7.8,24,51.5,0.0
E09000014,2021-07-02,7.4,24,51.5,0.0
E09000014,2021-07-03,10.6,24,51.5,0.0
E09000014,2021-07-04,11.7,24,51.5,0.0
E09000014,2021-07-05,13.0,24,51.5,0.0
E09000014,2021-07-06,18.7,24,51.5,0.0
E09000014,2021-07-07,12.6,24,51.5,0.0
E09000014,2021-07-08,7.9,24,51.5,0.0
