Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose,cubic_eta
FREP-73927-C,4,2023-04-18,E07000069,0.6931471805599453,1.7404906279495584,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.782595658495031
FREP-7393-O,2,2021-07-08,E07000011,1.0986122886681098,2.4733284682698606,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.4680128941407777
FREP-73930-C,4,2023-04-18,E07000071,0.0,1.692660523595739,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.639346924876535
FREP-73931-N,0,2023-09-06,E09000026,0.6931471805599453,2.086140492992113,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.1082992627243016
FREP-73935-C,2,2023-11-02,E09000031,0.0,2.3701943661018676,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.334416021975994
FREP-73937-N,0,2023-09-06,E09000033,4.77912349311153,1.9713913275472819,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.9789277419837052
FREP-73944-C,4,2023-04-18,E09000014,1.0986122886681098,1.4290246119998562,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.4396224844409158
FREP-73945-C,4,2023-04-18,E09000003,0.6931471805599453,1.5754713516041967,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.5724182666583824
FREP-73947-V,4,2021-10-29,E09000008,4.248495242049359,1.8089675838228705,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.7438764009208714
FREP-73948-C,3,2023-04-19,E09000014,0.6931471805599453,1.5249466721147753,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.593607161931971
FREP-73949-C,4,2023-04-18,E07000070,0.6931471805599453,1.7809638428023262,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.7256283584885013
FREP-7395-I,0,2023-07-20,E09000003,0.6931471805599453,2.2541503757817853,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.252375914165093
FREP-73950-V,4,2021-10-29,E07000116,1.791759469228055,2.091889407220323,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.025784743585027
FREP-73951-V,4,2021-10-29,E07000208,2.5649493574615367,2.1782004010742058,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.106346488263861
FREP-73953-V,4,2021-10-29,E07000106,5.272999558563747,1.941577163784733,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.8771025788422782
FREP-73958-V,4,2021-10-29,E07000110,0.6931471805599453,1.99832345008999,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.9479312251206686
FREP-73962-C,4,2023-04-20,E06000034,0.0,1.6432265194803155,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6737149029777993
FREP-73962-V,2,2021-10-30,E07000217,2.302585092994046,2.222068868131835,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.176029901909075
FREP-73965-C,3,2023-04-19,E06000033,0.6931471805599453,1.6502522782292322,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.710456230937374
FREP-73975-C,2,2024-02-02,E09000016,0.0,1.664263033370904,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6916083087759717
FREP-73976-V,2,2021-10-30,E07000108,2.3978952727983707,2.075083089282855,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.098499393623819
FREP-73980-V,2,2021-10-30,E07000105,2.6390573296152584,1.9937953847939616,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.93102126844387
FREP-73982-V,2,2021-10-30,E07000065,1.0986122886681098,2.3357988878810367,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.3543783551692736
FREP-73988-V,2,2021-10-30,E09000029,0.6931471805599453,1.9917339145177717,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.9332048182886983
FREP-7399-O,2,2021-07-08,E07000202,2.70805020110221,2.1516458666275637,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.1194148168425464
FREP-73990-C,3,2023-04-19,E07000096,0.6931471805599453,1.791735424991698,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.8098782941573572
FREP-73991-V,2,2021-10-30,E07000065,0.6931471805599453,2.1894787044562314,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.1192015063728817
