Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,z_gust_cu,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,grid_index,gust
0,0.87633567217325403,0,0,0,0.76796421032334894,0.67299443245871426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,14.767558528428093
0,0.90079519303267208,0,0,0,0.81143197979076898,0.73093402686850895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,14.899665551839464
0,0.92525471389209035,0,0,0,0.85609628557953399,0.79210712377797299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,15.031772575250836
0,0.94971423475150873,0,0,0,0.90195712768964387,0.85660152330243899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,15.163879598662207
0,0.97417375561092667,0,0,0,0.9490145061210975,0.92450502555723835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,15.295986622073578
0,0.99863327647034505,0,0,0,0.99726842087389667,0.99590543065770643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,15.42809364548495
0,1.023092797329763,0,0,0,1.0467188719480396,1.0708905387191736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,15.56020066889632
0,1.0475523181891813,0,0,0,1.0973658593435276,1.1495481498569755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,15.692307692307692
0,1.0720118390485998,0,0,0,1.1492093830603609,1.2319660641864443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,15.824414715719064
0,1.0964713599080176,0,0,0,1.2022494430985375,1.3182320818229101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,15.956521739130434
0,1.1209308807674361,0,0,0,1.2564860394580599,1.4084340028817106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,16.088628762541806
0,1.1453904016268543,0,0,0,1.3119191721389267,1.5026596274781756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,16.220735785953178
0,1.169849922486272,0,0,0,1.3685488411411364,1.6009967557276359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,16.352842809364546
0,1.1943094433456902,0,0,0,1.4263750464646925,1.7035331877454298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,16.484949832775918
0,1.2187689642051087,0,0,0,1.4853977881095937,1.8103567236468889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,16.61705685618729
