Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],grid_index,gust
0,-0.96412939425951816,0,0,0,0.92954548887522537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,7.3695652173913038
0,-0.94597911899313591,0,0,0,0.89487649357102961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,7.5016722408026757
0,-0.92782884372675389,0,0,0,0.86086636325132515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,7.6337792642140467
0,-0.90967856846037176,0,0,0,0.82751509791611122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,7.7658862876254178
0,-0.89152829319398974,0,0,0,0.79482269756538848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,7.8979933110367888
0,-0.8733780179276075,0,0,0,0.76278916219915627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,8.0301003344481607
0,-0.85522774266122525,0,0,0,0.73141449181741491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,8.1622073578595327
0,-0.83707746739484334,0,0,0,0.70069868642016497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,8.2943143812709028
0,-0.81892719212846143,0,0,0,0.670641746007406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,8.426421404682273
0,-0.80077691686207919,0,0,0,0.64124367057913734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,8.5585284280936449
0,-0.78262664159569706,0,0,0,0.61250446013535964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,8.6906354515050168
0,-0.76447636632931504,0,0,0,0.58442411467607314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,8.822742474916387
0,-0.74632609106293291,0,0,0,0.55700263420127727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,8.9548494983277589
0,-0.72817581579655066,0,0,0,0.53024001871097204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,9.0869565217391308
0,-0.71002554053016875,0,0,0,0.50413626820515833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,9.219063545150501
0,-0.69187526526378651,0,0,0,0.47869138268383493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,9.3511705685618729
0,-0.6737249899974046,0,0,0,0.45390536214700294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,9.483277591973243
0,-0.65557471473102236,0,0,0,0.42977820659466132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,9.615384615384615
0,-0.63742443946464022,0,0,0,0.40630991602681077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,9.7474916387959869
0,-0.6192741641982582,0,0,0,0.38350049044345125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,9.8795986622073571
0,-0.60112388893187607,0,0,0,0.36134992984458247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,10.011705685618729
0,-0.58297361366549405,0,0,0,0.33985823423020473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,10.143812709030099
0,-0.56482333839911192,0,0,0,0.31902540360031767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,10.275919732441471
