task,comparison,episode,mse_difference,range_min,range_max
R_log,P00-G02,DELETE_P3,0.37026541026138915,,
R_log,P00-G02,DELETE_P4,0.26975923929270096,,
R_log,P00-G02,DELETE_P5,0.3344959781545701,,
R_log,P02-P00,P1,-0.03860588462760095,,
R_log,P02-P00,P2,-0.08989138943596231,,
R_log,P02-P00,P3,-0.07300211476062168,,
R_log,P02-P00,P4,0.05048386869482879,,
R_log,P02-P00,P5,0.08345409271361204,,
R_log,P02-P00,MACRO,-0.013512285483148822,-0.08989138943596231,0.08345409271361204
R_log,P02-P00,DELETE_P1,-0.007238885697035791,,
R_log,P02-P00,DELETE_P2,0.005582490505054549,,
R_log,P02-P00,DELETE_P3,0.0013601718362193926,,
R_log,P02-P00,DELETE_P4,-0.029511324027643226,,
R_log,P02-P00,DELETE_P5,-0.03775388003233904,,
R_log,S03-S02,P1,0.18209583699561271,,
R_log,S03-S02,P2,-0.2543464964499975,,
R_log,S03-S02,P3,-0.07091354217409096,,
R_log,S03-S02,P4,-0.09839167614408484,,
R_log,S03-S02,P5,-0.04900080563340925,,
R_log,S03-S02,MACRO,-0.05811133668119397,-0.2543464964499975,0.18209583699561271
R_log,S03-S02,DELETE_P1,-0.11816313010039564,,
R_log,S03-S02,DELETE_P2,-0.009052546738993084,,
R_log,S03-S02,DELETE_P3,-0.05491078530796972,,
R_log,S03-S02,DELETE_P4,-0.04804125181547125,,
R_log,S03-S02,DELETE_P5,-0.06038896944314015,,
R_log,S04-S02,P1,-7.022677974005047,,
R_log,S04-S02,P2,-0.2769282561149611,,
R_log,S04-S02,P3,-0.019617402762354574,,
R_log,S04-S02,P4,-0.07401752066600298,,
R_log,S04-S02,P5,-0.03927799256238318,,
R_log,S04-S02,MACRO,-1.48650382922215,-7.022677974005047,-0.019617402762354574
R_log,S04-S02,DELETE_P1,-0.10246029302642545,,
R_log,S04-S02,DELETE_P2,-1.7888977224989469,,
R_log,S04-S02,DELETE_P3,-1.8532254358370985,,
R_log,S04-S02,DELETE_P4,-1.8396254063611863,,
R_log,S04-S02,DELETE_P5,-1.8483102883870914,,
R_log,S05-S02,P1,-7.527739476030813,,
R_log,S05-S02,P2,1.4617967550342437,,
R_log,S05-S02,P3,-0.37967227362492384,,
R_log,S05-S02,P4,-0.18151411245751237,,
R_log,S05-S02,P5,-0.2762640035873889,,
R_log,S05-S02,MACRO,-1.380678622133279,-7.527739476030813,1.4617967550342437
R_log,S05-S02,DELETE_P1,0.15608659134110464,,
R_log,S05-S02,DELETE_P2,-2.09129746642516,,
