task,model,config,validation_group,train_n,validation_n,status,n,mse,rmse,mae,r2,mean_y,mean_pred,residual_mean,sd_ratio,pearson,spearman,calibration_intercept,calibration_slope,sse,sse_between_process_mean,sse_within_process
R_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",P3,49285,509,ok,509,1.3861896466438188,1.177365553532045,0.9230255084554606,-0.002268711486515196,1.780364889623482,1.542415359199087,0.2379495304243949,0.13383139732792732,0.21138748679709243,0.24803342862862682,-0.6558893294026804,1.5795059382002066,705.5705301417038,28.819569325857728,676.750960815846
R_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",P1,49564,270,ok,270,1.146052125600396,1.0705382410733377,0.8029143281003616,0.017841593619158935,1.7064488001878504,1.8122095149970356,-0.10576071480918489,0.15295205371072662,0.16613595316829,0.21808645600177468,-0.2619664502806871,1.086196289214251,309.4340739121069,3.0200387751764297,306.41403513693047
R_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",P2,47038,2603,ok,2603,4.946628268485682,2.224101676741799,1.945660065779993,-0.610905159423303,2.9275269962016206,1.5527031901242943,1.3748238060773263,0.08142572866116905,0.06916039022865365,0.10032255131613663,1.6087109376419564,0.8493677780452635,12876.07338286823,4920.03571566133,7956.037667206899
R_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",P3,49285,509,ok,509,1.4659952481597107,1.2107829071141163,0.9601200621529901,-0.05997124706265322,1.780364889623482,1.434472826380023,0.34589206324345884,0.11425011932045845,0.17324770775261672,0.20772992056453254,-0.3948549743198444,1.5163897314336878,746.1915813132928,60.89743158214181,685.294149731151
R_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",P1,49564,270,ok,270,1.147574788327388,1.0712491719144468,0.8021078499943076,0.016536682643478406,1.7064488001878504,1.8257402080075276,-0.11929140781967712,0.14914524694450648,0.1708950597065542,0.23002361195480484,-0.38553862983863163,1.1458297411927605,309.84519284839473,3.8422187944921413,306.00297405390256
R_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",P2,47038,2603,ok,2603,4.976881135898849,2.2308924527862946,1.9521684389121026,-0.6207572238110197,2.9275269962016206,1.5464743215312167,1.381052674670404,0.08474549377522855,0.04456098045117874,0.06617165441751063,2.114357953930421,0.5258212379925282,12954.821596744705,4964.718794027762,7990.102802716943
R_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",P3,49285,509,ok,509,1.3994327150768058,1.1829762106977493,0.9248988335340054,-0.01184396200623583,1.780364889623482,1.5160309392608446,0.2643339503626373,0.1623885368623368,0.20028060461629224,0.24690259652036725,-0.08941975773477329,1.2333420109947668,712.3112519740941,35.56507059298745,676.7461813811067
R_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",P1,3110,270,ok,270,1.215739012349347,1.102605556103064,0.8593981892314145,-0.04187956574707474,1.7064488001878504,1.87372441288229,-0.16727561269443966,0.2057809262345389,0.05939775719289819,0.016384604000255373,1.1656065085366822,0.2886455915996781,328.2495333343237,7.55490526262105,320.6946280717027
R_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",P2,777,2603,ok,2603,5.366827654247615,2.316641460012234,2.031803645585662,-0.7477461189154184,2.9275269962016206,1.462891404251203,1.4646355919504175,0.2066189134413771,-0.015653854053995598,0.025905113302793124,3.0383585176610066,-0.07576196096122133,13969.852384006543,5583.844756992293,8386.007627014249
R_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",P3,2873,509,ok,509,1.4261699531348366,1.1942235775326313,0.9000491019321624,-0.031176018916351023,1.780364889623482,1.9776637988102843,-0.19729890918680212,0.23435616161508632,0.11071271987211798,0.13459761101170198,0.8460922993490005,0.47241224258466874,725.9205061456319,19.813771519247716,706.1067346263842
R_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",P1,3110,270,ok,270,1.2385829685803436,1.112916424795835,0.8741874609458193,-0.0614566714878062,1.7064488001878504,1.871412650596203,-0.16496385040835249,0.1942876572373928,-0.000997416263199006,-0.02226202135965853,1.7160560878529656,-0.005133708838643579,334.41740151669273,7.34752942421831,327.06987209247444
R_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",P2,777,2603,ok,2603,5.37053896421779,2.317442332447086,2.0321295127793184,-0.7489547337647011,2.9275269962016206,1.4612420563320914,1.4662849398695295,0.21363724131853543,-0.0073807870676337135,0.020948304456060714,2.978010312712798,-0.03454822306298603,13979.512923858907,5596.427939283958,8383.08498457495
R_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",P3,2873,509,ok,509,1.4004806631782998,1.1834190564539258,0.9060826143785756,-0.012601669002484162,1.780364889623482,1.8235233746218742,-0.04315848499839213,0.17547151931053778,0.05566531999913679,0.10042999055764759,1.2018834780925765,0.3172327920670935,712.8446575577545,0.9480913071244272,711.8965662506301
R_log,S05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",P1,3110,270,ok,270,1.3467588740498013,1.160499407173395,0.9025857900298744,-0.15416264231703614,1.7064488001878504,2.037411979002151,-0.33096317881430026,0.3005729888827626,0.04999380969064442,0.01809154928484574,1.367569424771312,0.16632835131484264,363.62489599344633,29.574888947333953,334.0500070461124
R_log,S05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",P2,777,2603,ok,2603,5.0627419243109095,2.2500537603157196,1.9655702914365831,-0.6487184085894107,2.9275269962016206,1.5882274701803045,1.339299526021316,0.2595442233671819,0.005362658853421513,0.04150928481788195,2.8947113087873015,0.020661830896674848,13178.317228981297,4669.0615427036,8509.255686277696
R_log,S05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",P3,2873,509,ok,509,1.5588454607842215,1.248537328550581,0.9385892136165398,-0.12710554083964998,1.780364889623482,2.143865639202428,-0.36350074957894624,0.31884038305173334,0.10991513685897385,0.12555071506984125,1.0413014031078731,0.34473405095972304,793.4523395391687,67.255592626728,726.1967469124407
