target,candidate,fold,n,valid,brier,brier_a01,absolute_gain,relative_gain,constant_brier
any_gt1000,A04_top3_mean,1,24112,True,0.008359234559739609,0.008367580730464785,8.346170725176405e-06,0.0009974413147625298,0.008511298436645155
any_gt1000,A04_top3_mean,2,24112,True,0.0075703884903470485,0.007576280102252322,5.8916119052739024e-06,0.0007776391350053714,0.007614448544035552
any_gt1000,A04_top3_mean,3,24112,True,0.0072816844306086365,0.007287441626823876,5.7571962152397e-06,0.0007900161003071923,0.0073292811701277044
any_gt1000,A04_top3_mean,4,24112,True,0.008666545686397771,0.00866572758217597,-8.181042218009804e-07,-9.440687051871919e-05,0.008756054376847566
any_gt1000,A05_max_rolling3h_mean,0,25208,True,0.009219577826152727,0.009225336510813304,5.758684660576302e-06,0.0006242248891220791,0.009315030947516066
any_gt1000,A05_max_rolling3h_mean,1,24112,True,0.00835864246463575,0.008367580730464785,8.938265829035869e-06,0.0010682019232265457,0.008511298436645155
any_gt1000,A05_max_rolling3h_mean,2,24112,True,0.007569758320258565,0.007576280102252322,6.521781993757726e-06,0.0008608158496963294,0.007614448544035552
any_gt1000,A05_max_rolling3h_mean,3,24112,True,0.007281062007025206,0.007287441626823876,6.379619798669786e-06,0.0008754265386068347,0.0073292811701277044
any_gt1000,A05_max_rolling3h_mean,4,24112,True,0.008666751902012826,0.00866572758217597,-1.024319836855428e-06,-0.00011820355845968337,0.008756054376847566
wthr_gt0,A01_daily_max,0,25208,True,0.0470954652569909,0.0470954652569909,0.0,0.0,0.050201549278040714
wthr_gt0,A01_daily_max,1,24112,True,0.050579860681880945,0.050579860681880945,0.0,0.0,0.053805922507277136
wthr_gt0,A01_daily_max,2,24112,True,0.046658353334945966,0.046658353334945966,0.0,0.0,0.049419095660247686
wthr_gt0,A01_daily_max,3,24112,True,0.0391892770854365,0.0391892770854365,0.0,0.0,0.04050233910893154
wthr_gt0,A01_daily_max,4,24112,True,0.04292233742590286,0.04292233742590286,0.0,0.0,0.04498411306845427
wthr_gt0,A02_daily_mean,0,25208,True,0.0479101440760752,0.0470954652569909,-0.0008146788190843066,-0.01729845569289444,0.050201549278040714
wthr_gt0,A02_daily_mean,1,24112,True,0.05123672569951543,0.050579860681880945,-0.0006568650176344837,-0.012986690923602924,0.053805922507277136
wthr_gt0,A02_daily_mean,2,24112,True,0.047494205250444205,0.046658353334945966,-0.0008358519154982383,-0.01791430377960222,0.049419095660247686
wthr_gt0,A02_daily_mean,3,24112,True,0.04000174136591299,0.0391892770854365,-0.0008124642804764881,-0.020731800658257502,0.04050233910893154
wthr_gt0,A02_daily_mean,4,24112,True,0.04330975983693348,0.04292233742590286,-0.00038742241103061764,-0.009026125655421905,0.04498411306845427
wthr_gt0,A03_daily_q90,0,25208,True,0.04726746565595909,0.0470954652569909,-0.00017200039896819036,-0.0036521647685104556,0.050201549278040714
wthr_gt0,A03_daily_q90,1,24112,True,0.050710334409372115,0.050579860681880945,-0.00013047372749117048,-0.0025795588546947035,0.053805922507277136
wthr_gt0,A03_daily_q90,2,24112,True,0.046925352369511605,0.046658353334945966,-0.00026699903456563895,-0.005722427292899409,0.049419095660247686
wthr_gt0,A03_daily_q90,3,24112,True,0.03937283960967728,0.0391892770854365,-0.00018356252424078096,-0.004683998733648403,0.04050233910893154
wthr_gt0,A03_daily_q90,4,24112,True,0.04303042785143278,0.04292233742590286,-0.00010809042552992199,-0.0025182791062234033,0.04498411306845427
wthr_gt0,A04_top3_mean,0,25208,True,0.0471017071518223,0.0470954652569909,-6.24189483140053e-06,-0.00013253706694136495,0.050201549278040714
wthr_gt0,A04_top3_mean,1,24112,True,0.05057378587278935,0.050579860681880945,6.07480909159408e-06,0.00012010331799451237,0.053805922507277136
wthr_gt0,A04_top3_mean,2,24112,True,0.04672352309889637,0.046658353334945966,-6.516976395040674e-05,-0.0013967437616705643,0.049419095660247686
wthr_gt0,A04_top3_mean,3,24112,True,0.039251453786325496,0.0391892770854365,-6.217670088899674e-05,-0.0015865743262741332,0.04050233910893154
wthr_gt0,A04_top3_mean,4,24112,True,0.04294419484473762,0.04292233742590286,-2.185741883475867e-05,-0.0005092317927114592,0.04498411306845427
wthr_gt0,A05_max_rolling3h_mean,0,25208,True,0.047118086394161984,0.0470954652569909,-2.2621137171087435e-05,-0.0004803251660780553,0.050201549278040714
wthr_gt0,A05_max_rolling3h_mean,1,24112,True,0.05058662174784558,0.050579860681880945,-6.7610659646374915e-06,-0.00013367110690875203,0.053805922507277136
