Incident Reference,Spatial Coordinates,Cause Code,licence_area,regulatory_year,substation,SiteFunctionalLocation
FREP-228867-Z,1,1,1,1,1,1
FREP-228871-Z,1,1,1,1,1,1
FREP-228885-Z,1,1,1,1,1,1
FREP-228891-Z,1,1,1,1,1,1
FREP-228899-Z,1,1,1,1,1,1
FREP-22892-U,1,1,1,1,1,1
FREP-22894-U,1,1,1,1,1,1
FREP-228946-Z,1,1,1,1,1,1
FREP-228955-Z,1,1,1,1,1,1
FREP-228964-Z,1,1,1,1,1,1
FREP-228978-J,1,1,1,1,1,1
FREP-229001-Z,1,1,1,1,1,1
FREP-229032-Z,1,1,1,1,1,1
FREP-229035-Z,1,1,1,1,1,1
FREP-229039-Z,1,1,1,1,1,1
FREP-229057-Z,1,1,1,1,1,1
FREP-229072-Z,1,1,1,1,1,1
FREP-229086-Z,1,1,1,1,1,1
FREP-229106-Z,1,1,1,1,1,1
FREP-229120-Z,1,1,1,1,1,1
FREP-229163-Z,1,1,1,1,1,1
FREP-229164-Z,1,1,1,1,1,1
FREP-229172-Z,1,1,1,1,1,1
FREP-229186-Z,1,1,1,1,1,1
FREP-229209-Z,1,1,1,1,1,1
FREP-229229-Z,1,1,1,1,1,1
FREP-229271-Z,1,1,1,1,1,1
FREP-22929-U,1,1,1,1,1,1
FREP-229294-Z,1,1,1,1,1,1
FREP-229403-Z,1,1,1,1,1,1
FREP-229446-Z,1,1,1,1,1,1
FREP-229453-Z,1,1,1,1,1,1
FREP-22946-U,1,1,1,1,1,1
FREP-22947-U,1,1,1,1,1,1
FREP-229532-Z,1,1,1,1,1,1
FREP-229541-Z,1,1,1,1,1,1
FREP-229565-Z,1,1,1,1,1,1
FREP-22967-U,1,1,1,1,1,1
FREP-229750-Z,1,1,1,1,1,1
FREP-229767-Z,1,1,1,1,1,1
FREP-229888-Z,1,1,1,1,1,1
FREP-229927-Z,1,1,1,1,1,1
FREP-229944-Z,1,1,1,1,1,1
FREP-229948-Z,1,1,1,1,1,1
FREP-230061-Z,1,1,1,1,1,1
FREP-230122-Z,1,1,1,1,1,1
FREP-230147-Z,1,1,1,1,1,1
FREP-230156-Z,1,1,1,1,1,1
FREP-230180-Z,1,1,1,1,1,1
FREP-230192-Z,1,1,1,1,1,1
FREP-230195-Z,1,1,1,1,1,1
FREP-230206-Z,1,1,1,1,1,1
FREP-230228-Z,1,1,1,1,1,1
FREP-23024-U,1,1,1,1,1,1
FREP-23026-U,1,1,1,1,1,1
FREP-230275-Z,1,1,1,1,1,1
FREP-230286-Z,1,1,1,1,1,1
FREP-230290-Z,1,1,1,1,1,1
FREP-230291-Z,1,1,1,1,1,1
FREP-230297-Z,1,1,1,1,1,1
FREP-230299-Z,1,1,1,1,1,1
FREP-230301-Z,1,1,1,1,1,1
FREP-230302-Z,1,1,1,1,1,1
FREP-230306-Z,1,1,1,1,1,1
FREP-230332-Z,1,1,1,1,1,1
FREP-230359-Z,1,1,1,1,1,1
FREP-230371-Z,1,1,1,1,1,1
FREP-230374-Z,1,1,1,1,1,1
FREP-23038-U,1,1,1,1,1,1
FREP-23040-U,1,1,1,1,1,1
FREP-230406-Z,1,1,1,1,1,1
FREP-230483-Z,1,1,1,1,1,1
FREP-23052-U,1,1,1,1,1,1
FREP-230537-Z,1,1,1,1,1,1
FREP-230558-Z,1,1,1,1,1,1
FREP-23060-U,1,1,1,1,1,1
FREP-230626-Z,1,1,1,1,1,1
FREP-230629-Z,1,1,1,1,1,1
FREP-230634-Z,1,1,1,1,1,1
FREP-230664-Z,1,1,1,1,1,1
FREP-230757-Z,1,1,1,1,1,1
FREP-230780-Z,1,1,1,1,1,1
FREP-230865-Z,1,1,1,1,1,1
FREP-230874-Z,1,1,1,1,1,1
FREP-230916-Z,1,1,1,1,1,1
FREP-230917-Z,1,1,1,1,1,1
FREP-230934-Z,1,1,1,1,1,1
FREP-230940-Z,1,1,1,1,1,1
FREP-230996-Z,1,1,1,1,1,1
FREP-231003-Z,1,1,1,1,1,1
FREP-231014-Z,1,1,1,1,1,1
FREP-231032-Z,1,1,1,1,1,1
FREP-231176-Z,1,1,1,1,1,1
FREP-231194-Z,1,1,1,1,1,1
FREP-231263-Z,1,1,1,1,1,1
FREP-231299-Z,1,1,1,1,1,1
FREP-231384-Z,1,1,1,1,1,1
FREP-231434-Z,1,1,1,1,1,1
FREP-231497-Z,1,1,1,1,1,1
FREP-231538-Z,1,1,1,1,1,1
FREP-231590-Z,1,1,1,1,1,1
FREP-231591-Z,1,1,1,1,1,1
FREP-231628-Z,1,1,1,1,1,1
FREP-231652-Z,1,1,1,1,1,1
FREP-231660-Z,1,1,1,1,1,1
FREP-231661-Z,1,1,1,1,1,1
FREP-231664-Z,1,1,1,1,1,1
FREP-231689-Z,1,1,1,1,1,1
FREP-231743-Z,1,1,1,1,1,1
FREP-231753-Z,1,1,1,1,1,1
FREP-231755-Z,1,1,1,1,1,1
FREP-231757-Z,1,1,1,1,1,1
FREP-231768-Z,1,1,1,1,1,1
FREP-231771-Z,1,1,1,1,1,1
FREP-231788-Z,1,1,1,1,1,1
FREP-231804-Z,1,1,1,1,1,1
FREP-231819-Z,1,1,1,1,1,1
FREP-231820-Z,1,1,1,1,1,1
FREP-231824-Z,1,1,1,1,1,1
FREP-231889-Z,1,1,1,1,1,1
FREP-232004-Z,1,1,1,1,1,1
FREP-232044-Z,1,1,1,1,1,1
FREP-232049-Z,1,1,1,1,1,1
FREP-232051-Z,1,1,1,1,1,1
FREP-232055-Z,1,1,1,1,1,1
FREP-232061-Z,1,1,1,1,1,1
FREP-232065-Z,1,1,1,1,1,1
FREP-232087-Z,1,1,1,1,1,1
FREP-232096-Z,1,1,1,1,1,1
FREP-232212-Z,1,1,1,1,1,1
FREP-232218-Z,1,1,1,1,1,1
FREP-232250-Z,1,1,1,1,1,1
FREP-232262-Z,1,1,1,1,1,1
