storm,eta_pred,observed
Arwen,2.1080920838095802,18.0
Arwen,1.5645884144630566,2.0
Arwen,2.031174933537342,69.0
Arwen,2.196237767995058,0.0
Arwen,2.606087178823001,1.0
Arwen,1.733924920397324,1.0
Arwen,1.6023060880627846,1.0
Arwen,1.807068352947972,40.0
Arwen,2.1371804820482487,17.0
Arwen,1.9384881704769905,24.0
Arwen,2.309931716750937,602.0
Arwen,2.06833861633055,0.0
Arwen,1.8226867399948692,0.0
Arwen,1.7481450426253062,9.0
Arwen,1.7998628271886363,1.0
Arwen,1.9376021362341962,1.0
Arwen,1.4735342402881595,1.0
Arwen,1.7166021234112232,266.0
Arwen,2.588797311542945,4.0
Arwen,2.4940858599030746,9.0
Arwen,2.15914913098578,158.0
Arwen,1.779674448228952,15.0
Arwen,1.8993275387518154,2.0
Arwen,2.452387508968858,1.0
Arwen,2.148321053858822,1.0
Arwen,2.113758998720463,0.0
Arwen,2.033619933254409,7.0
Arwen,1.8652174046305283,407.0
Arwen,2.3356831899953634,16.0
Arwen,1.9878736767230614,5.0
Arwen,2.1132957613308183,34.0
Arwen,2.6592160582059927,3.0
Arwen,1.951043161081761,240.0
Arwen,2.3838259853852244,2.0
Arwen,1.720649751643969,1.0
Arwen,1.6686234802743918,1.0
Arwen,2.0760222900786958,32.0
Arwen,1.9892100347080215,2.0
Arwen,1.499358365081892,1.0
Arwen,2.022048973294752,1.0
Arwen,2.5239324916880554,4.0
Arwen,2.383030522285374,1.0
Arwen,2.4136283987288394,16.0
Arwen,1.7695323932694027,2.0
Arwen,1.5660565097552341,4.0
Arwen,2.1808572733761626,19.0
Arwen,2.12886930558713,121.0
Arwen,1.9881314063615758,2.0
Arwen,1.9080178942542345,0.0
Arwen,1.5429487022662896,0.0
Arwen,1.8532122319088602,16.0
Arwen,2.4866316546511005,57.0
Arwen,2.282206946983683,1.0
Arwen,2.057420460852988,46.0
Arwen,2.0984937338815435,124.0
Arwen,2.1289088301679753,81.0
Arwen,2.479779302195919,1.0
Arwen,2.270620004836139,6.0
Arwen,1.9830813468858095,1.0
Arwen,2.141000959226082,1.0
Arwen,1.900276394096777,1.0
Arwen,2.0346421519126356,3.0
Arwen,2.104658135548943,86.0
Arwen,1.6982054892640033,1.0
Arwen,2.020382701246658,1.0
Arwen,2.2532836459228096,1.0
Arwen,2.3580994941989917,1.0
Arwen,2.5584070420846463,0.0
Arwen,2.4954352168670373,1.0
Arwen,1.793423738934669,2.0
Arwen,1.8815389380045866,5.0
Arwen,1.7069229035126376,0.0
Arwen,1.9768340002960534,0.0
Arwen,2.124194253434309,2.0
Arwen,2.3536327747575627,4.0
Arwen,1.840676291763684,1.0
Arwen,2.5764674608429994,241.0
Arwen,2.419915930636155,46.0
Arwen,2.101368005562788,2.0
Arwen,2.4084254507429264,1.0
Arwen,1.8468347621616579,792.0
Arwen,1.6093103224838954,1.0
Arwen,1.7335997431848391,1.0
Arwen,2.3849000538453318,2.0
Arwen,2.0982340936515707,1.0
Arwen,2.3552243128591344,507.0
Arwen,2.1769939940063456,6.0
Arwen,2.293616241612948,1.0
Arwen,2.2071917893367257,1.0
Arwen,2.4707218723914397,39.0
Arwen,2.2743081408713905,202.0
Arwen,2.491891531326577,1.0
Arwen,1.9360323798018098,1.0
Arwen,1.9397269331403517,0.0
Arwen,2.2621757972708942,1.0
Arwen,1.7949435491001158,1.0
Arwen,1.8044932597439143,1.0
Arwen,1.8443213326100405,1.0
Arwen,1.5528605390008565,1.0
Arwen,1.809995848573643,1.0
Arwen,2.140159906407669,68.0
Arwen,1.6183931385552224,1.0
Arwen,1.7124242246678028,7.0
Arwen,2.4912662673438173,4.0
Arwen,1.6378593571830695,1.0
Arwen,2.093861021886911,1.0
Arwen,2.3182898886866385,1.0
Arwen,1.9209614313253394,2.0
Arwen,1.8439995215044984,1.0
Arwen,1.6713949314387326,2.0
Arwen,1.9959196365783807,3.0
Arwen,2.2117747995122587,3.0
Arwen,2.288613757064169,2.0
Arwen,2.2016874320571698,1.0
Arwen,1.714613116892574,1.0
Arwen,2.371588218929145,8.0
Arwen,2.2207343001620203,6.0
Arwen,2.1182157358795886,21.0
Arwen,2.3937139974146167,1.0
Arwen,1.9807537663021615,1.0
Arwen,2.471994317240647,1.0
Arwen,2.3232699621119477,1.0
Arwen,2.4108634922903334,1.0
Arwen,2.2743081408713905,1.0
Arwen,2.5103833654895404,6.0
Arwen,2.4360588898348765,2.0
Arwen,2.3410931225481852,1.0
Arwen,1.8232165631993027,0.0
Arwen,2.1470437123793653,2.0
Arwen,2.012274766338953,39.0
Arwen,1.783782653647538,2.0
Arwen,1.7716586015480873,1.0
Arwen,2.1156998685734836,0.0
Arwen,1.8427659410249226,0.0
Arwen,1.7530545348659752,1.0
Arwen,1.9632211910044493,9.0
Arwen,1.9757407658275368,1.0
Dudley,2.0512491649223676,0.0
Dudley,2.199070417928037,18.0
Dudley,2.241258029326461,14.0
Dudley,2.323398925268281,192.0
Dudley,2.7090302953696184,1187.0
Dudley,2.7800393162482706,1.0
Dudley,2.186614239938751,194.0
Dudley,3.4237886796931662,116.0
Dudley,1.982059552037471,4.0
Dudley,1.9738951093827677,20.0
Dudley,2.2025752424819287,32.0
Dudley,2.027361434224969,42.0
Dudley,1.8924133423641367,476.0
Dudley,2.1776758333884696,12.0
Dudley,2.2482201434874787,343.0
