storm,eta_pred,observed,in_training_range
Eunice,2.0723358879986984,105.2,True
Eunice,1.641652075873736,1.0,True
Eunice,3.704886661831924,74.45,True
Eunice,1.063757861461765,31.633333333333333,True
Eunice,3.722170759198557,120.8,True
Eunice,3.41404103839097,49.91666666666666,True
Eunice,3.0197499614504015,0.1666666666666666,True
Eunice,2.8083447540385404,77.66666666666667,True
Eunice,1.5172594490786802,98.13333333333334,True
Eunice,2.941937943748648,123.58333333333331,True
Eunice,2.5198452703991543,104.18333333333334,True
Eunice,3.0997437250356517,2.05,True
Eunice,1.2362724825725782,79.38333333333334,True
Eunice,1.8750886325581588,119.3,True
Eunice,3.2007698866953103,25.73333333333333,True
Eunice,2.764915060251787,81.41666666666667,True
Eunice,3.000049019491529,79.26666666666667,True
Eunice,2.2005125934209944,129.05,True
Eunice,2.7962555706016192,65.08333333333333,True
Eunice,2.994486272842326,0.05,True
Eunice,0.716700047248674,143.25,True
Eunice,2.7642562712698107,53.516666666666666,True
Eunice,3.8749364688457177,97.76666666666668,True
Eunice,2.9405686814958596,4.6,True
Eunice,2.3391412571316184,5.866666666666666,True
Eunice,-0.23123921283850873,37.61666666666667,True
Eunice,2.5622370778588412,101.71666666666668,True
Eunice,3.71387747259536,121.8,True
Eunice,2.889807460328885,95.36666666666666,True
Eunice,1.8390878101439438,18.133333333333333,True
Eunice,1.832330446284187,78.96666666666667,True
Eunice,2.9771961477998685,145.98333333333332,True
Eunice,2.1487347440959925,53.333333333333336,True
Eunice,3.665136958079698,4.216666666666667,True
Eunice,3.5863463947189014,25.15,True
Eunice,1.7113645241484023,22.183333333333334,True
Eunice,3.677892691969094,2.25,True
Eunice,2.5222488071165574,26.33333333333333,True
Eunice,3.969465375403088,54.6,True
Eunice,2.8856819555205044,75.48333333333333,True
Eunice,2.548972230892415,24.0,True
Eunice,1.2426373687548957,126.71666666666668,True
Eunice,2.9983096670245177,29.416666666666668,True
Eunice,2.7773712950530483,16.716666666666665,True
Eunice,2.4309306598390417,63.31666666666667,True
Eunice,3.4331302031596524,10.7,True
Eunice,2.6128973611310538,138.28333333333333,True
Eunice,3.0966196941834707,96.7,True
Eunice,3.8986495663231606,122.85,True
Eunice,2.6268293420220172,110.08333333333331,True
Eunice,2.5082795167229905,10.216666666666669,True
Eunice,3.608852503382648,70.28333333333333,True
