task,model,episode,n,mse,rmse,mae,r2
R_C_log,B01,MACRO,4452,2.5030793794528945,1.5821123156883947,,
R_C_log,G02,POOLED,4452,3.3484824486618727,1.8298859113785955,1.4879944336672195,-0.18234440580630373
R_C_log,G02,MACRO,4452,2.166262938185321,1.4718229982526163,,
R_C_log,G05,POOLED,4452,3.196002240567415,1.7877366250562232,1.426083807923563,-0.12850386048443507
R_C_log,G05,MACRO,4452,1.963555924942907,1.4012693977044197,,
R_C_log,P00,POOLED,4452,3.58505009543821,1.893422851725998,1.5527294986571774,-0.2658761065242037
R_C_log,P00,MACRO,4452,2.496153239113083,1.5799219091819328,,
R_C_log,P02,POOLED,4452,3.5734176796694648,1.890348560363793,1.5500788477547043,-0.2617687170063985
R_C_log,P02,MACRO,4452,2.493375955328567,1.5790427338512936,,
R_C_log,S01,POOLED,4452,3.527159216575825,1.8780732724193232,1.5670263496901558,-0.24543491926413474
R_C_log,S01,MACRO,4452,2.564837651161992,1.601511052463264,,
R_C_log,S02,POOLED,4452,3.396655015285003,1.843001631926842,1.536653176432571,-0.199354070791393
R_C_log,S02,MACRO,4452,2.4877513341134025,1.5772607058167025,,
R_C_log,S03,POOLED,4452,3.6998323356748224,1.923494823407337,1.6072051876517564,-0.3064055528361911
R_C_log,S03,MACRO,4452,4.003575557910428,2.000893689807239,,
R_C_log,S04,POOLED,4452,3.206990722488777,1.7908072823418988,1.4921961987816035,-0.13238387787357153
R_C_log,S04,MACRO,4452,2.395414845346091,1.5477127786983251,,
R_C_log,S05,POOLED,4452,3.8957998747689073,1.9737780713061202,1.5833242395056777,-0.37560141308629147
R_C_log,S05,MACRO,4452,2.2513898547233566,1.500463213385572,,
R_log,B00,POOLED,4452,3.609164426305114,1.899780099460228,1.5689056883069659,-0.27439084256877866
R_log,B00,MACRO,4452,2.671396390203952,1.63444069644755,,
R_log,B01,POOLED,4452,3.380624319541445,1.8386474157764574,1.5297420590565907,-0.1936936548494923
R_log,B01,MACRO,4452,2.445980788977761,1.5639631673980563,,
R_log,G02,POOLED,4452,3.507246382842309,1.8727643692793572,1.5304689073581197,-0.23840372590130765
R_log,G02,MACRO,4452,2.2732255645538673,1.507721978533797,,
R_log,G05,POOLED,4452,3.503639103945764,1.8718010321467835,1.5293237859314177,-0.23713000083662417
R_log,G05,MACRO,4452,2.231273010496806,1.493744626934874,,
R_log,P00,POOLED,4452,3.755732532010582,1.9379712412754173,1.589975624289059,-0.32614383291810456
R_log,P00,MACRO,4452,2.6044990587782335,1.6138460455626595,,
R_log,P02,POOLED,4452,3.7082788209154165,1.9256891807650103,1.5789520451640437,-0.3093879948008891
R_log,P02,MACRO,4452,2.590986773295085,1.6096542402935745,,
R_log,S01,POOLED,4452,4.001570248997544,2.000392523730666,1.6716217424112558,-0.41294878228610377
R_log,S01,MACRO,4452,4.1507308160783225,2.037334242601916,,
R_log,S02,POOLED,4452,3.8120351189277444,1.9524433715034464,1.6325103547238893,-0.34602419654388195
R_log,S02,MACRO,4452,3.847546058091196,1.9615162650590476,,
R_log,S03,POOLED,4452,3.6480923851723452,1.9099980065885789,1.5925062752331984,-0.28813624966043583
R_log,S03,MACRO,4452,3.789434721410003,1.9466470459253786,,
R_log,S04,POOLED,4452,3.208039166123594,1.7910999877515477,1.485904880947161,-0.1327540818347488
R_log,S04,MACRO,4452,2.3610422288690467,1.5365683287342111,,
R_log,S05,POOLED,4452,4.112638793905964,2.02796419936496,1.6556767943426445,-0.4521669280422491
R_log,S05,MACRO,4452,2.466867435957917,1.5706264469815594,,
